RespId,weight,age,Education,race,gender,income_cat,voter_category,Union Voting,Community Meetings,Stay Informed,Community Emblem,Community Events,Know Pledge & Rules,Support Worker Rights,Respect Dissent,Belief in God,Protest Injustice
470113,1.0037,29,College,White,Male,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Not so important,Not so important,Very important,Not at all important,Very important
470115,0.9997,77,High school or less,White,Female,$75-125k,always,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important
470116,1.4106,43,College,White,Female,$125k or more,sporadic,Very important,Not so important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Somewhat important,Not so important
470117,0.9261,64,Some college,Other/Mixed,Female,$40-75k,always,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important
470118,0.9673,65,High school or less,White,Female,Less than $40k,sporadic,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470119,0.4026,89,Some college,Black,Male,$75-125k,always,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important
480127,0.4758,68,Some college,Black,Female,Less than $40k,always,Very important,Not at all important,Not so important,,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
470120,0.9742,69,High school or less,White,Female,$40-75k,sporadic,Very important,Very important,Very important,Not so important,Very important,Not so important,Very important,Very important,Not so important,Not at all important
470121,0.8746,79,College,White,Female,$125k or more,always,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Not so important,Somewhat important
470122,0.9186,71,High school or less,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470125,0.9067,66,Some college,White,Male,$40-75k,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Not so important,Very important
470126,1.0943,72,High school or less,White,Female,$125k or more,always,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470127,1.3452,53,High school or less,White,Female,$40-75k,rarely/never,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Not so important
470128,0.9746,62,College,White,Male,$125k or more,rarely/never,Very important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Very important,Not at all important,Somewhat important
470131,0.5081,30,College,Black,Male,$75-125k,rarely/never,Not so important,Somewhat important,Not so important,Not so important,Very important,Not so important,Very important,Very important,Very important,Not so important
470133,0.8516,43,College,Hispanic,Female,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Not at all important,Very important
470134,0.9742,72,High school or less,White,Female,$40-75k,rarely/never,Very important,Somewhat important,Not so important,Very important,Very important,Very important,,Very important,Very important,
470135,1.1984,65,Some college,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important
470137,1.1027,59,High school or less,White,Male,$40-75k,rarely/never,Not at all important,Not at all important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important
470138,0.9628,69,High school or less,Black,Male,Less than $40k,always,Very important,Somewhat important,Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important
470139,0.5402,76,Some college,Black,Female,$40-75k,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important
470140,0.885,74,Some college,White,Female,Less than $40k,sporadic,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Not so important,Very important,Not at all important
470141,0.7835,69,College,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important
470142,0.8044,81,College,White,Male,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Not so important,Somewhat important
480152,1.1913,56,High school or less,Black,Male,$125k or more,sporadic,Very important,Somewhat important,Very important,Not so important,Very important,Not at all important,Somewhat important,Very important,Very important,Somewhat important
470143,0.7714,75,High school or less,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470144,0.5081,44,College,Black,Male,$75-125k,sporadic,Very important,Very important,Not so important,Not so important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important
470145,1.5818,47,Some college,White,Female,$125k or more,sporadic,Very important,Not so important,Somewhat important,Very important,Not so important,Very important,Very important,Very important,Very important,Not so important
470146,0.4161,77,College,Black,Female,$125k or more,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important
470147,0.7648,63,College,White,Female,$40-75k,always,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Somewhat important,Not so important
470148,0.8741,63,Some college,White,Male,$75-125k,always,Very important,Somewhat important,Not so important,Not so important,Very important,Not so important,Very important,Somewhat important,Not so important,Not so important
470149,1.3612,82,High school or less,White,Female,$125k or more,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Not so important
470151,0.3729,69,College,Hispanic,Female,$40-75k,always,Very important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Not so important
470154,0.5872,76,Some college,Black,Female,$75-125k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470158,1.5437,57,Some college,White,Female,$125k or more,always,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Not so important,Somewhat important
